CYRANO DE BERGERAC;;
IRREVERSIBLE;;
LA HORA 25;;
LA VIDA DE LOS OTROS;;
El silencio de los corderos;Jonathan Demme;1991
EL BUEN PASTOR;;2006
El resplandor  [1980];Stanley Kubrick;1980
LA TUMBA PERDIDA DE JESUS;;
MEMORIAS DE QUEENS;;
El último refugio (1941) ;Raoul Walsh;1941
La noche americana  [1973];François Truffaut;1973
LA ESCALERA DE CARACOL;Robert Siodmak;
La loba  [1941];William Wyler;1941
UNDERGROUND;;
UN PUENTE LEJANO;;1977
UN PUENTE LEJANO;;1977
El resplandor  [1980];Stanley Kubrick;1980
EL BUENO, EL FEO Y EL MALO;;
EL DETECTIVE Y LA MUERTE;;
EL ODIO;;
EN ESTE MUNDO (IN THIS WORLD) DUAL;;
EL SHOW PANTERA ROSA. TEMP 1 1 al 18;;
PARIS, JE T'AIME;;
Érase una vez en América;Sergio Leone;1984
El golpe;George Roy Hill;1973
EL ULTIMO REY DE ESCOCIA;;
LA FAMILIA;;
LAS VACACIONES DE MR BEAN;;
SHREK 3;;
THE RIVER KING;;
EL GRITO 2;;
EL LABERINTO DEL FAUNO;;
NOCHE EN EL MUSEO;;
NORBIT;;
PEQUEÑA MISS SUNSHINE;;
TERESA. EL CUERPO DE CRISTO;;
La novia vestida de negro  [1967];François Truffaut;1967
E.T. El Extraterrestre (1982);Steven Spielberg;1982
LOS FANTASMAS DE GOYA;;
PIRATAS DEL CARIBE-EN EL FIN DEL MUNDO;;
El infierno del odio  [1963];Akira Kurosawa;1963
El proceso de Billy Mitchell  [1955];Otto Preminger;1955
DANZAD, DANZAD MALDITOS;;
EPIC MOVIE;;
LA JOVEN DE LA PERLA;;
SECRETOS, MENTIRAS Y ESPIAS ATOMICOS;;
